NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:9.16
Barycenter M:6.54
Barycenter H:9.7
H[km]	Mag	Io	PDF
10.4747	6.7797	9.0707	0.000187
11.0000	6.7797	9.0707	0.000152
7.4365	6.8814	9.0707	0.000089
7.8095	6.8814	9.0707	0.000200
8.2012	6.8814	9.0707	0.001010
8.6125	6.8814	9.0707	0.000745
9.0444	6.8814	9.0707	0.000929
9.4980	6.8814	9.0707	0.000144
8.6125	6.9831	9.0707	0.000075
9.0444	6.9831	9.0707	0.000464
9.4980	6.9831	9.0707	0.000920
9.9744	6.9831	9.0707	0.000529
10.4747	6.9831	9.0707	0.000156
9.4980	7.0847	9.0707	0.000027
9.9744	7.0847	9.0707	0.000087
10.4747	7.0847	9.0707	0.000061
11.0000	7.0847	9.0707	0.000031
6.1145	5.9661	9.1717	0.000018
6.1145	6.0678	9.1717	0.000060
6.4211	6.0678	9.1717	0.000122
6.7432	6.0678	9.1717	0.000203
7.0814	6.0678	9.1717	0.000227
7.4365	6.0678	9.1717	0.000199
6.7432	6.1695	9.1717	0.000008
7.0814	6.1695	9.1717	0.000218
7.4365	6.1695	9.1717	0.001788
7.8095	6.1695	9.1717	0.001481
8.2012	6.1695	9.1717	0.002157
8.6125	6.1695	9.1717	0.000239
6.1145	6.2712	9.1717	0.000009
7.4365	6.2712	9.1717	0.000060
7.8095	6.2712	9.1717	0.000413
8.2012	6.2712	9.1717	0.003336
8.6125	6.2712	9.1717	0.002669
9.0444	6.2712	9.1717	0.005032
9.4980	6.2712	9.1717	0.001831
9.9744	6.2712	9.1717	0.000086
6.1145	6.3729	9.1717	0.000034
6.4211	6.3729	9.1717	0.000065
6.7432	6.3729	9.1717	0.000094
7.0814	6.3729	9.1717	0.000109
7.4365	6.3729	9.1717	0.000204
7.8095	6.3729	9.1717	0.000157
8.2012	6.3729	9.1717	0.000089
8.6125	6.3729	9.1717	0.000457
9.0444	6.3729	9.1717	0.002646
9.4980	6.3729	9.1717	0.005061
9.9744	6.3729	9.1717	0.003386
10.4747	6.3729	9.1717	0.000890
11.0000	6.3729	9.1717	0.000103
6.1145	6.4746	9.1717	0.000115
6.4211	6.4746	9.1717	0.000065
6.7432	6.4746	9.1717	0.000043
7.0814	6.4746	9.1717	0.000171
7.4365	6.4746	9.1717	0.000847
7.8095	6.4746	9.1717	0.000534
8.2012	6.4746	9.1717	0.001554
8.6125	6.4746	9.1717	0.000759
9.0444	6.4746	9.1717	0.000972
9.4980	6.4746	9.1717	0.003994
9.9744	6.4746	9.1717	0.008687
10.4747	6.4746	9.1717	0.003053
11.0000	6.4746	9.1717	0.000479
6.1145	6.5763	9.1717	0.000009
6.4211	6.5763	9.1717	0.000084
6.7432	6.5763	9.1717	0.000156
7.0814	6.5763	9.1717	0.000256
7.4365	6.5763	9.1717	0.000411
7.8095	6.5763	9.1717	0.000372
8.2012	6.5763	9.1717	0.001583
8.6125	6.5763	9.1717	0.001426
9.0444	6.5763	9.1717	0.003200
9.4980	6.5763	9.1717	0.004113
9.9744	6.5763	9.1717	0.013211
10.4747	6.5763	9.1717	0.020072
11.0000	6.5763	9.1717	0.009317
6.1145	6.6780	9.1717	0.000135
6.4211	6.6780	9.1717	0.000085
6.7432	6.6780	9.1717	0.000050
7.4365	6.6780	9.1717	0.000271
7.8095	6.6780	9.1717	0.000197
8.2012	6.6780	9.1717	0.000352
8.6125	6.6780	9.1717	0.000175
9.0444	6.6780	9.1717	0.000915
9.4980	6.6780	9.1717	0.001890
9.9744	6.6780	9.1717	0.002525
10.4747	6.6780	9.1717	0.015136
11.0000	6.6780	9.1717	0.015389
6.1145	6.7797	9.1717	0.000029
6.4211	6.7797	9.1717	0.000119
6.7432	6.7797	9.1717	0.000234
7.0814	6.7797	9.1717	0.000278
7.4365	6.7797	9.1717	0.000531
7.8095	6.7797	9.1717	0.000103
8.2012	6.7797	9.1717	0.000098
8.6125	6.7797	9.1717	0.000091
9.0444	6.7797	9.1717	0.000054
